Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Rick Barry,22,SFW,SF,78,40.7,13.0,28.7,.451,9.7,10.9,.884,9.2,3.6,3.3,35.6,"MVP-5,AS,NBA1"
Oscar Robertson,28,CIN,PG,79,43.9,10.6,21.5,.493,9.3,10.7,.873,6.2,10.7,2.9,30.5,"MVP-4,AS,NBA1"
Jerry West,28,LAL,PG,66,40.5,9.8,21.0,.464,9.1,10.4,.878,5.9,6.8,2.4,28.7,"AS,NBA1"
Elgin Baylor,32,LAL,SF,70,38.7,10.2,23.7,.429,6.3,7.7,.813,12.8,3.1,3.0,26.6,"AS,NBA1"
Wilt Chamberlain,30,PHI,C,81,45.5,9.7,14.2,.683,4.8,10.8,.441,24.2,7.8,1.8,24.1,"MVP-1,AS,NBA1"
Hal Greer,30,PHI,SG,80,38.6,8.7,19.1,.459,4.6,5.8,.788,5.3,3.8,3.8,22.1,"AS,NBA2"
Sam Jones,33,BOS,SG,72,32.3,8.9,19.5,.454,4.4,5.2,.857,4.7,3.0,2.7,22.1,NBA2
John Havlicek,26,BOS,SF,81,32.1,8.4,19.0,.444,4.5,5.4,.828,6.6,3.4,2.6,21.4,AS
Willis Reed,24,NYK,PF,78,36.2,8.1,16.6,.489,4.6,6.2,.735,14.6,1.6,3.8,20.9,"AS,NBA2"
Gus Johnson,28,BAL,SF,73,36.0,8.5,18.9,.450,3.7,5.2,.708,11.7,2.7,3.8,20.7,
Don Ohl,30,BAL,SG,58,34.9,7.8,17.3,.451,4.8,6.1,.780,3.3,2.9,2.6,20.3,AS
Dave Bing,23,DET,PG,80,34.5,8.3,19.0,.436,3.4,4.6,.738,4.5,4.1,2.7,20.0,ROY-1
Bailey Howell,30,BOS,PF,81,30.9,7.9,15.3,.512,4.3,5.8,.741,8.4,1.3,3.7,20.0,AS
Chet Walker,26,PHI,SF,81,33.2,6.9,14.2,.488,5.5,7.2,.766,8.1,2.3,2.9,19.3,AS
Walt Bellamy,27,NYK,C,79,38.1,7.2,13.7,.521,4.7,7.3,.636,13.5,2.6,3.5,19.0,
Nate Thurmond,25,SFW,C,65,42.5,7.2,16.4,.437,4.3,6.8,.629,21.3,2.6,2.8,18.7,"MVP-2,AS"
Billy Cunningham,23,PHI,SF,81,26.8,6.9,15.0,.459,4.7,6.9,.686,7.3,2.5,3.2,18.5,
Lou Hudson,22,STL,SF,80,30.6,7.8,16.6,.467,2.9,4.1,.706,5.4,1.2,3.5,18.4,ROY-2
Dave DeBusschere,26,DET,SF,78,37.1,6.8,16.4,.415,4.6,6.6,.705,11.8,2.8,3.8,18.2,AS
Kevin Loughery,26,BAL,SG,76,33.9,6.8,17.2,.398,4.5,5.4,.825,4.6,3.8,3.9,18.2,
Bob Boozer,29,CHI,PF,80,30.6,6.7,13.8,.487,4.5,5.8,.781,8.5,1.1,2.7,18.0,
Guy Rodgers,31,CHI,PG,81,37.8,6.6,17.0,.391,4.7,5.9,.806,4.3,11.2,3.0,18.0,AS
Zelmo Beaty,27,STL,C,48,34.6,6.8,14.5,.473,4.1,5.4,.758,10.7,1.3,3.9,17.8,
Jerry Lucas,26,CIN,PF,81,43.9,7.1,15.5,.459,3.5,4.4,.791,19.1,3.3,3.5,17.8,"AS,NBA2"
Eddie Miles,26,DET,SG,81,29.9,7.2,16.8,.427,3.2,4.2,.772,3.7,2.2,2.7,17.6,
Bill Bridges,27,STL,PF,79,39.6,6.4,14.0,.455,4.6,6.6,.702,15.1,2.8,4.1,17.4,AS
Jerry Sloan,24,CHI,SG,80,36.8,6.6,15.2,.432,4.3,5.3,.796,9.1,2.1,3.7,17.4,AS
Lenny Wilkens,29,STL,PG,78,38.1,5.7,13.3,.432,5.9,7.5,.787,5.3,5.7,3.6,17.4,AS
Dick Barnett,30,NYK,SG,67,29.4,6.8,14.2,.478,3.4,4.4,.783,3.4,2.4,2.8,17.0,
Adrian Smith,30,CIN,SG,81,32.5,6.2,14.2,.438,4.2,4.7,.903,2.5,2.3,3.4,16.6,
Ray Scott,28,2TM,C,72,34.0,6.4,15.9,.400,3.6,5.1,.699,10.6,2.2,3.0,16.3,
Howard Komives,25,NYK,PG,65,35.1,6.2,15.3,.404,3.3,3.9,.858,2.8,6.2,3.3,15.7,
Dick Van Arsdale,23,NYK,SG,79,36.6,5.2,11.6,.449,4.7,6.4,.729,7.0,3.1,3.3,15.1,
Leroy Ellis,26,BAL,C,81,36.3,6.1,14.4,.425,2.6,3.5,.738,12.0,2.1,3.2,14.9,
Happy Hairston,24,CIN,SF,79,30.9,5.8,12.2,.479,3.2,4.8,.660,8.0,0.8,3.5,14.9,
Larry Siegfried,27,BOS,PG,73,25.9,5.0,11.4,.442,4.0,4.8,.847,3.1,3.4,2.8,14.1,
Paul Neumann,29,SFW,PG,78,31.0,4.9,11.7,.424,4.0,5.0,.800,3.5,4.4,3.4,13.9,
Joe Caldwell,25,STL,SF,81,27.9,5.7,13.3,.426,2.5,3.8,.649,5.5,2.0,2.8,13.8,
Richie Guerin,34,STL,SG,80,28.4,4.9,11.3,.436,3.8,5.2,.731,2.4,4.3,3.1,13.7,
Bill Russell,32,BOS,C,81,40.7,4.9,10.7,.454,3.5,5.8,.610,21.0,5.8,3.2,13.3,"MVP-3,AS,NBA2"
