Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Marvin Webster,25,SEA,C,82,,35.5,5.2,10.4,.502,3.5,5.6,.629,4.4,8.2,12.6,2.5,0.6,2.0,3.1,3.2,14.0,MVP-10
Spencer Haywood,28,NYK,PF,67,,26.3,6.1,12.7,.484,1.4,2.0,.711,2.1,4.5,6.6,1.9,0.6,1.1,2.1,2.8,13.7,
Lou Hudson,33,LAL,SG,82,,27.8,6.0,12.1,.497,1.7,2.2,.774,1.0,1.3,2.3,2.4,1.1,0.2,1.8,2.4,13.7,
Norm Nixon,22,LAL,PG,81,,34.3,6.1,12.3,.497,1.4,2.0,.714,0.5,2.4,3.0,6.8,1.7,0.1,3.1,3.2,13.7,ROY-5
Dave Bing,34,BOS,PG,80,,28.2,5.3,11.8,.449,3.1,3.7,.824,1.0,1.7,2.7,3.8,1.0,0.2,2.7,3.1,13.6,
Junior Bridgeman,24,MIL,SF,82,,22.9,5.8,11.5,.503,2.0,2.5,.810,1.4,2.1,3.5,2.1,0.9,0.4,2.1,2.5,13.6,
Charlie Scott,29,2TM,SG,79,,31.3,5.5,12.6,.438,2.5,3.3,.746,0.8,2.4,3.2,4.8,1.4,0.2,3.0,3.2,13.5,
Scott May,23,CHI,SF,55,,32.8,5.1,11.2,.454,3.2,3.9,.810,2.1,3.9,6.0,2.1,0.9,0.1,2.3,3.1,13.4,
Dan Roundfield,24,IND,PF,79,60,30.7,5.3,10.9,.489,2.8,3.8,.727,3.5,6.7,10.2,2.5,1.0,1.9,2.5,3.8,13.4,
Sidney Wicks,28,BOS,PF,81,,29.8,5.3,11.4,.467,2.7,4.1,.660,2.8,5.6,8.3,2.1,0.8,0.6,2.8,3.9,13.4,
Mike Newlin,29,HOU,SG,45,,26.2,4.8,11.0,.436,3.4,3.9,.874,0.8,1.9,2.7,4.5,1.2,0.2,2.7,2.8,13.0,
Jamaal Wilkes,24,LAL,SF,51,,29.2,5.4,12.4,.440,2.1,2.9,.716,2.2,5.2,7.5,3.6,1.5,0.4,2.1,3.2,12.9,
Richard Washington,22,KCK,PF,78,,28.6,5.4,11.4,.477,1.9,2.6,.754,2.4,6.0,8.4,1.5,0.9,0.9,2.4,4.2,12.8,
Bob Gross,24,POR,SF,72,,30.0,5.3,10.0,.529,2.1,2.6,.800,2.5,3.1,5.6,3.5,1.4,0.7,2.5,3.3,12.7,DEF2
Steve Hawes,27,ATL,PF,75,,31.0,5.2,11.4,.453,2.3,2.9,.818,2.4,6.8,9.2,2.5,1.0,0.8,2.0,3.1,12.7,
Dennis Johnson,23,SEA,SG,81,,27.3,4.5,10.9,.417,3.7,5.0,.732,1.9,1.8,3.6,2.8,1.5,0.6,2.0,2.6,12.7,
Robert Parish,24,GSW,C,82,,24.0,5.2,11.1,.472,2.0,3.2,.625,2.6,5.7,8.3,1.2,1.0,1.5,2.5,3.5,12.5,
Elmore Smith,28,CLE,C,81,,24.6,5.0,10.0,.497,2.5,3.8,.663,2.2,6.2,8.4,0.7,0.6,2.2,1.7,3.0,12.5,
M.L. Carr,27,DET,SF,79,,32.4,4.9,10.8,.455,2.5,3.4,.738,2.6,4.5,7.1,2.3,1.9,0.3,2.7,3.1,12.4,
John Lucas,24,HOU,PG,82,82,35.8,5.0,11.5,.435,2.4,3.0,.772,0.6,2.5,3.1,9.4,2.0,0.1,2.6,2.5,12.4,
Austin Carr,29,CLE,SG,82,,26.7,5.0,11.5,.438,2.2,2.7,.813,0.9,1.4,2.3,2.7,0.8,0.2,1.8,2.0,12.3,
Aaron James,25,NOJ,SF,80,,26.5,5.4,10.8,.497,1.5,2.0,.745,2.0,3.2,5.3,1.4,0.5,0.3,1.6,3.2,12.2,
Ron Lee,25,PHO,PG,82,,23.5,5.1,11.6,.439,2.1,2.8,.746,1.2,1.9,3.1,3.7,2.7,0.2,2.7,3.1,12.2,
Lucius Allen,30,KCK,PG,77,,27.9,4.8,11.0,.441,2.3,2.9,.791,0.9,2.1,3.0,4.7,1.2,0.4,2.8,2.3,11.9,
Howard Porter,29,2TM,SF,63,,21.0,4.9,10.1,.487,2.0,2.5,.800,1.6,2.8,4.4,0.7,0.5,0.6,0.9,2.1,11.8,
Darryl Dawkins,21,PHI,C,70,11,24.6,4.7,8.2,.575,2.2,3.1,.709,1.7,6.3,7.9,1.2,0.5,1.8,1.8,3.8,11.7,
Kermit Washington,26,2TM,PF,57,,28.4,4.3,8.9,.487,3.0,4.3,.691,3.8,7.0,10.8,1.3,0.8,1.1,1.9,3.3,11.6,
Brian Taylor,26,DEN,PG,39,,31.3,4.7,10.3,.452,2.3,2.9,.765,0.8,1.7,2.5,3.4,1.8,0.2,2.0,3.1,11.6,
Marvin Barnes,25,2TM,PF,60,,27.4,4.7,11.0,.422,2.1,3.0,.703,2.3,5.1,7.3,2.3,1.1,1.4,2.3,4.0,11.4,
Charlie Criss,29,ATL,PG,77,,25.1,4.1,9.8,.425,3.1,3.8,.797,0.3,1.3,1.6,3.8,1.4,0.1,1.9,1.9,11.4,
Tom Henderson,26,WSB,PG,75,,30.9,4.5,10.5,.432,2.4,3.2,.746,0.9,1.7,2.6,5.4,1.2,0.2,2.6,1.7,11.4,
Sonny Parker,22,GSW,SF,82,,25.2,5.0,9.5,.519,1.5,2.1,.705,2.0,2.7,4.7,1.9,1.6,0.4,1.6,2.3,11.4,
Bob Wilkerson,23,DEN,SF,81,,34.3,4.7,11.6,.408,1.9,2.6,.748,1.2,4.6,5.9,5.4,1.6,0.3,3.6,3.4,11.4,
Lloyd Neal,27,POR,PF,61,,19.2,4.5,8.9,.504,2.1,2.9,.718,1.9,4.2,6.1,1.3,0.5,0.3,1.6,2.1,11.0,
Darnell Hillman,28,2TM,PF,78,,25.2,4.4,9.1,.479,2.1,3.7,.584,2.6,4.8,7.4,1.3,0.8,1.0,2.2,3.7,10.9,
Ron Behagen,27,3TM,PF,80,10,21.7,4.3,10.1,.430,2.2,3.1,.725,2.5,3.9,6.4,1.3,0.8,0.4,2.2,3.3,10.9,
Leon Douglas,23,DET,C,79,,25.2,4.1,8.4,.481,2.8,4.4,.641,2.3,5.1,7.4,1.4,0.7,0.6,2.5,3.7,10.9,
Bubbles Hawkins,23,NJN,SG,15,,22.9,4.6,10.0,.460,1.7,1.9,.862,1.4,1.9,3.3,2.5,1.5,0.9,2.9,3.4,10.9,
Johnny Davis,22,POR,SG,82,,26.7,4.2,9.2,.454,2.3,2.8,.828,0.8,1.3,2.1,2.6,1.0,0.2,1.8,2.1,10.7,
Jack Sikma,22,SEA,PF,82,,27.3,4.2,9.2,.455,2.3,3.0,.777,2.4,5.9,8.3,1.6,0.8,0.5,2.3,3.7,10.7,ROY-4
John Johnson,30,2TM,SF,77,,23.7,4.4,10.7,.415,1.7,2.3,.751,1.3,2.7,4.0,2.7,0.6,0.2,2.2,2.6,10.6,
Dwight Jones,25,HOU,PF,82,,30.2,4.2,9.5,.445,2.2,2.8,.777,2.6,5.2,7.8,1.3,0.9,0.5,2.0,3.2,10.6,
Chris Ford,29,DET,SG,82,,31.5,4.6,9.5,.481,1.4,1.9,.734,1.4,1.8,3.3,4.6,2.0,0.2,2.8,2.2,10.5,
Eddie Johnson,22,ATL,SG,79,,23.7,4.2,8.7,.484,2.1,2.5,.816,0.6,1.3,1.9,3.0,1.3,0.1,2.1,2.9,10.5,
Kevin Kunnert,26,HOU,C,80,,26.9,4.6,10.5,.437,1.2,1.7,.689,3.3,5.4,8.7,1.2,0.6,1.1,1.8,3.9,10.4,
John Mengelt,28,CHI,SG,81,,21.8,4.0,8.3,.481,2.3,2.9,.773,0.5,1.1,1.6,2.9,0.6,0.0,1.5,2.1,10.3,
Bingo Smith,31,CLE,SG,82,,19.3,4.5,10.2,.439,1.3,1.6,.800,0.8,1.7,2.5,1.1,0.5,0.3,1.0,1.9,10.3,
Larry McNeill,27,2TM,PF,46,,20.4,3.5,7.7,.455,3.2,3.8,.829,1.7,2.7,4.4,1.0,0.4,0.2,1.5,2.5,10.2,
Rich Kelley,24,NOJ,C,82,,25.8,3.7,7.3,.505,2.7,3.5,.779,3.0,6.2,9.3,2.8,1.1,1.6,2.7,3.6,10.2,
Tom Owens,28,POR,C,82,,20.9,3.8,7.8,.490,2.5,3.4,.741,2.4,4.2,6.6,2.0,0.4,0.5,1.9,3.2,10.1,
Bill Robinzine,25,KCK,PF,82,,21.3,3.7,8.3,.451,2.5,3.3,.760,2.1,4.5,6.6,0.9,0.9,0.1,2.1,3.4,10.0,
Nate Williams,27,2TM,SG,73,,17.1,4.3,9.9,.431,1.4,1.7,.835,0.9,1.9,2.8,1.0,0.8,0.5,1.1,2.5,9.9,
Tom McMillen,25,ATL,C,68,,24.8,4.1,8.4,.493,1.7,2.1,.800,2.2,3.9,6.1,1.2,0.5,0.2,1.6,3.4,9.9,
Armond Hill,24,ATL,PG,82,82,30.9,3.7,8.9,.415,2.3,2.7,.848,0.7,2.1,2.8,5.2,1.8,0.2,2.9,3.7,9.7,
Alex English,24,MIL,SF,82,,18.9,4.2,7.7,.542,1.3,1.7,.727,1.8,3.1,4.8,1.6,0.5,0.7,1.7,2.2,9.6,
Anthony Roberts,22,DEN,SF,82,,19.5,3.8,9.0,.423,1.9,2.6,.722,1.6,2.6,4.3,1.3,0.5,0.1,1.4,2.6,9.5,
Butch Beard,30,NYK,PG,79,,25.1,3.9,7.8,.502,1.6,2.0,.806,1.0,2.4,3.3,4.3,1.5,0.0,1.9,2.5,9.4,
Jim McElroy,24,NOJ,PG,74,,23.8,3.9,8.2,.473,1.7,2.3,.737,0.6,1.4,2.0,3.9,0.8,0.5,1.9,1.5,9.4,
Quinn Buckner,23,MIL,PG,82,82,25.3,3.8,8.2,.468,1.6,2.5,.645,1.0,2.1,3.0,5.6,2.3,0.2,2.8,3.5,9.3,DEF2
Ray Williams,23,NYK,PG,81,,19.1,3.8,8.5,.443,1.8,2.6,.705,1.0,1.5,2.6,4.5,1.3,0.2,3.0,2.6,9.3,
Steve Mix,30,PHI,SF,82,20,22.2,3.5,6.8,.520,2.1,2.7,.795,1.2,2.5,3.6,2.1,1.1,0.0,1.6,1.9,9.2,
Larry Wright,23,WSB,PG,70,,20.9,4.0,8.1,.496,1.1,1.5,.710,0.4,1.0,1.5,3.7,1.0,0.2,1.9,2.8,9.2,
Henry Bibby,28,PHI,PG,82,82,30.7,3.5,8.0,.434,2.1,2.7,.781,0.8,2.3,3.1,5.7,1.1,0.1,1.9,2.5,9.1,
Louie Dampier,33,SAS,PG,82,,24.8,4.1,8.0,.509,0.9,1.2,.752,0.3,1.2,1.5,3.5,1.1,0.2,1.2,1.0,9.1,
Mike Gale,27,SAS,SG,70,,29.9,3.9,8.3,.473,1.2,1.4,.870,0.8,2.4,3.2,5.4,2.3,0.4,2.5,2.4,9.1,
Bird Averitt,25,2TM,SG,55,,19.7,3.6,8.8,.409,1.8,2.6,.709,0.3,1.2,1.5,3.6,0.7,0.2,2.6,2.2,9.0,
Ken Charles,26,ATL,SG,21,,24.8,3.5,8.8,.397,2.0,2.4,.840,0.3,0.9,1.1,3.9,1.2,0.2,1.8,2.5,9.0,
Foots Walker,26,CLE,PG,81,,30.8,3.5,7.9,.448,2.0,2.7,.719,0.9,2.7,3.6,5.6,2.2,0.3,2.2,2.7,9.0,
Terry Furlow,23,CLE,SG,53,,15.6,3.6,8.4,.433,1.7,1.9,.889,0.9,1.1,2.0,1.4,0.4,0.3,1.5,1.3,8.9,
Dave Twardzik,27,POR,PG,75,,24.3,3.2,5.5,.592,2.4,3.1,.782,0.5,1.3,1.8,3.3,1.4,0.1,2.1,2.5,8.9,
Bob Carrington,24,2TM,SG,72,1,23.0,3.5,8.2,.430,1.8,2.4,.760,1.0,1.4,2.4,1.6,0.9,0.3,1.6,2.8,8.8,
Joe Meriweather,24,NOJ,C,54,,23.6,3.6,7.6,.472,1.6,2.5,.654,2.5,4.4,6.9,1.1,0.3,2.2,1.7,3.5,8.8,
Clifford Ray,29,GSW,C,79,,28.7,3.4,6.0,.571,1.9,3.1,.609,3.0,6.6,9.6,1.9,0.9,1.1,1.9,3.7,8.8,
Cazzie Russell,33,CHI,SF,36,,21.9,3.7,8.4,.438,1.4,1.6,.860,0.9,1.4,2.3,1.7,0.5,0.1,1.0,1.8,8.8,
Jim Price,28,2TM,PG,83,,23.2,3.5,7.9,.448,1.6,2.0,.799,0.7,2.4,3.1,3.1,1.4,0.1,2.1,2.4,8.7,
George Johnson,29,NJN,C,81,,29.8,3.5,8.9,.395,1.6,2.3,.719,3.0,6.6,9.6,1.4,1.0,3.4,2.7,4.2,8.7,
Tom Burleson,25,KCK,C,76,,20.1,3.0,6.9,.434,2.6,3.3,.794,2.2,4.1,6.3,1.7,0.8,1.1,1.6,3.4,8.6,
Sam Lacey,29,KCK,C,77,,27.7,3.4,7.7,.449,1.7,2.4,.717,2.0,6.3,8.3,3.9,1.6,1.4,2.4,3.4,8.6,
John Gianelli,27,MIL,C,82,,28.4,3.7,7.7,.488,1.0,1.5,.642,2.0,4.2,6.2,2.3,0.7,1.1,1.8,2.3,8.5,
Ollie Johnson,28,ATL,SF,82,,20.8,3.6,7.5,.472,1.4,1.6,.854,1.1,2.1,3.2,1.5,1.0,0.4,1.3,2.2,8.5,
Jim McMillian,29,NYK,SF,81,,24.4,3.6,7.7,.462,1.4,1.7,.858,1.0,2.6,3.6,2.5,0.9,0.2,1.3,1.4,8.5,
Kevin Stacom,26,BOS,SG,55,,18.3,3.7,8.8,.426,1.0,1.3,.761,0.5,1.5,1.9,2.0,0.5,0.1,1.3,1.1,8.5,
Don Buse,27,PHO,PG,82,82,31.1,3.5,7.6,.458,1.4,1.7,.824,0.7,2.3,3.0,4.8,2.3,0.2,1.5,1.8,8.4,DEF1
Mark Olberding,21,SAS,PF,79,,22.4,2.9,6.1,.481,2.3,2.9,.811,1.3,3.4,4.7,1.7,0.6,0.3,1.5,3.0,8.2,
Mike Green,26,2TM,C,72,,19.2,3.3,7.1,.463,1.5,2.0,.754,1.8,3.2,5.0,1.1,0.4,1.4,1.5,2.7,8.1,
Ralph Simpson,28,2TM,SG,64,,20.7,3.4,9.0,.375,1.3,1.6,.817,0.8,1.6,2.5,2.5,1.2,0.1,2.0,1.4,8.1,
Allan Bristow,26,SAS,SF,82,,18.1,3.1,6.6,.478,1.9,2.5,.731,1.2,1.9,3.1,2.4,0.8,0.0,1.8,1.8,8.1,
Larry Steele,28,POR,SG,65,,17.4,3.2,6.9,.470,1.5,1.9,.820,0.5,1.2,1.7,1.3,0.9,0.1,1.0,2.1,8.0,
Al Skinner,25,2TM,SG,77,,20.1,2.9,6.3,.455,2.1,2.6,.798,0.9,2.0,2.9,1.9,0.8,0.3,2.1,3.1,7.9,
Mike Glenn,22,BUF,SG,56,,16.9,3.5,6.6,.527,0.9,1.2,.785,0.3,1.2,1.4,1.4,0.6,0.1,0.9,1.8,7.9,
Gar Heard,29,PHO,PF,80,,26.2,3.3,7.8,.424,1.1,1.8,.612,2.1,6.1,8.2,1.7,1.6,1.3,1.5,2.7,7.8,
Bruce Seals,24,SEA,SF,73,,18.1,3.2,7.5,.417,1.5,2.4,.634,0.8,2.2,3.1,1.1,0.6,0.5,1.4,2.9,7.8,
Eddie Jordan,23,2TM,PG,73,,16.6,2.9,7.4,.400,1.8,2.3,.784,0.5,1.2,1.6,2.4,1.7,0.3,1.5,1.3,7.7,
Kent Benson,23,MIL,C,69,,18.7,3.2,6.9,.465,1.3,2.0,.652,1.3,3.0,4.3,1.4,1.0,0.8,1.7,2.6,7.7,
Don Ford,25,LAL,PF,79,,24.6,3.4,7.3,.472,0.9,1.1,.756,1.3,3.1,4.5,1.8,0.9,0.6,1.1,2.7,7.7,
Tree Rollins,22,ATL,C,80,,22.4,3.2,6.5,.487,1.3,1.9,.703,2.2,4.7,6.9,1.0,0.7,2.7,1.5,4.1,7.6,
Wes Unseld,31,WSB,C,80,,33.1,3.2,6.1,.523,1.2,2.2,.538,3.6,8.4,11.9,4.1,1.2,0.6,2.2,2.9,7.6,
Slick Watts,26,2TM,PG,71,,22.3,3.1,7.9,.392,1.3,2.2,.590,0.8,1.7,2.5,4.1,1.5,0.4,2.4,2.6,7.5,
Coby Dietrick,29,SAS,PF,79,,23.7,3.2,6.9,.460,1.1,1.4,.781,0.9,3.6,4.5,2.7,1.0,0.7,1.8,2.9,7.5,
Charles Johnson,28,2TM,SG,71,,18.3,3.3,8.2,.408,0.7,0.9,.803,0.6,1.6,2.2,1.8,0.9,0.1,1.0,1.8,7.4,
Gus Gerard,24,2TM,SF,57,,15.6,3.0,6.9,.430,1.3,1.9,.694,1.0,1.8,2.8,0.9,0.6,0.4,1.1,1.9,7.3,
John Brown,26,ATL,SF,75,,21.3,2.6,5.4,.474,2.2,2.7,.825,1.8,2.2,4.0,1.4,0.7,0.1,1.5,3.7,7.3,
Cedric Maxwell,22,BOS,SF,72,23,16.8,2.4,4.4,.538,2.6,3.5,.752,1.9,3.3,5.3,0.9,0.7,0.7,1.7,2.1,7.3,
Robert Reid,22,HOU,SF,80,,23.1,3.3,7.2,.455,0.8,1.2,.656,1.4,3.1,4.5,1.5,0.8,0.6,1.0,3.5,7.3,
Norm Van Lier,30,CHI,PG,78,,32.4,2.6,6.1,.419,2.2,2.9,.751,1.1,2.5,3.6,6.8,1.8,0.1,2.6,3.6,7.3,DEF2
Chuck Williams,31,BUF,PG,73,,27.4,2.8,6.0,.477,1.6,1.9,.826,0.4,1.5,1.9,4.3,0.7,0.1,2.1,1.9,7.3,
Tom Boswell,24,BOS,PF,65,,17.7,2.8,5.5,.518,1.4,1.9,.756,1.8,2.6,4.4,1.1,0.4,0.2,1.5,3.1,7.1,
Alonzo Bradley,24,HOU,SF,43,,18.6,3.0,7.1,.428,1.0,1.4,.729,0.6,1.7,2.3,1.3,0.4,0.1,1.3,1.9,7.0,
Louie Nelson,26,2TM,SG,33,,12.3,2.6,6.4,.403,1.7,2.5,.679,0.4,1.2,1.6,1.0,0.7,0.2,1.5,1.0,6.9,
Ernie Grunfeld,22,MIL,SG,73,,17.3,2.8,6.3,.443,1.3,2.0,.657,1.0,1.7,2.7,2.0,0.7,0.3,1.3,2.1,6.9,
Tom Abernethy,23,LAL,SF,73,,18.0,2.8,5.5,.498,1.2,1.5,.820,1.4,2.2,3.6,1.4,0.8,0.3,0.7,1.7,6.8,
Wil Jones,30,BUF,PF,79,,21.7,2.9,6.5,.440,1.1,1.5,.706,1.3,2.9,4.2,1.5,0.9,0.5,1.7,3.2,6.8,
Bill Willoughby,20,BUF,SF,56,,19.3,2.8,6.5,.430,1.1,1.4,.800,1.4,2.6,3.9,0.7,0.4,0.8,1.0,2.3,6.7,
Jim Bostic,25,DET,PF,4,,12.0,3.0,5.5,.545,0.5,1.3,.400,2.0,2.0,4.0,0.8,0.0,0.0,0.8,1.3,6.5,
Jim Cleamons,28,NYK,PG,79,,25.4,2.7,5.7,.480,1.0,1.3,.786,0.9,1.8,2.7,3.6,0.9,0.2,1.4,1.8,6.5,
E.C. Coleman,27,GSW,PF,72,,25.0,2.9,6.2,.475,0.6,0.8,.727,1.6,3.6,5.2,1.4,0.9,0.3,1.3,3.5,6.4,DEF2
Wally Walker,23,2TM,SF,77,,14.3,2.6,6.0,.443,1.0,1.6,.625,1.1,1.7,2.8,1.0,0.3,0.1,1.0,1.8,6.3,
Toby Knight,22,NYK,SF,80,,14.6,2.8,5.8,.477,0.8,1.2,.649,1.5,2.5,4.0,0.5,0.6,0.4,1.2,2.6,6.3,
Kenny Carr,22,LAL,PF,52,,14.1,2.6,5.8,.444,1.1,1.6,.647,1.0,3.0,4.0,0.5,0.3,0.3,1.7,2.4,6.2,
Joe Bryant,23,PHI,PF,81,0,15.3,2.3,5.4,.436,1.4,1.8,.771,1.3,2.2,3.5,1.6,0.7,0.3,1.4,2.3,6.1,
Mack Calvin,30,DEN,PG,77,,12.8,1.9,4.3,.441,2.2,2.7,.840,0.1,0.9,1.1,1.9,0.6,0.1,1.4,1.1,6.1,
Curtis Rowe,28,BOS,PF,51,,17.9,2.4,5.4,.451,1.3,1.7,.742,1.5,2.5,4.0,0.9,0.3,0.2,1.5,1.8,6.1,
Alvin Scott,22,PHO,SF,81,,19.0,2.2,4.6,.488,1.6,2.4,.691,1.7,2.7,4.4,1.1,0.6,0.5,1.0,2.0,6.1,
Wilson Washington,22,2TM,PF,38,0,14.8,2.6,5.4,.485,0.8,1.4,.547,1.3,2.8,4.1,0.3,0.5,1.0,1.7,2.0,6.0,
Curtis Perry,29,PHO,PF,45,,18.2,2.4,5.4,.453,1.1,1.4,.785,1.9,3.6,5.6,1.1,0.8,0.5,1.4,2.7,6.0,
Tony Robertson,22,ATL,SG,63,,14.7,2.7,6.0,.441,0.6,0.8,.698,0.2,0.9,1.1,1.6,1.2,0.1,1.4,2.1,5.9,
